moving_x,moving_y,reference_x,reference_y
265.646,438.768,265.617,438.674
420.058,420.950,420.115,420.919
175.162,665.795,175.142,665.745
407.846,567.158,407.900,567.112
163.869,555.438,163.855,555.385
295.045,429.336,295.071,429.341
203.878,467.898,203.880,467.842
253.798,470.411,253.833,470.429
285.098,708.466,284.852,708.566
405.920,406.106,405.917,406.134
161.936,625.048,161.876,625.004
256.938,549.542,257.092,549.532
228.058,341.233,228.081,341.209
374.645,501.707,374.656,501.590
415.478,488.689,415.339,488.710
329.145,392.088,329.139,392.114
387.532,575.701,387.543,575.744
189.468,579.388,189.496,579.398
232.645,574.849,232.591,574.890
179.921,614.062,179.846,614.126
274.238,554.584,274.241,554.602
192.613,366.223,192.651,366.191
242.086,511.273,242.102,511.279
327.939,604.001,328.023,604.099
317.335,394.549,317.430,394.515
427.346,552.630,427.278,552.619
248.161,642.448,248.140,642.399
155.178,725.556,155.028,725.523
285.098,708.466,284.852,708.566
277.165,385.531,277.129,385.541
397.163,458.623,397.243,458.641
388.900,405.963,388.878,405.950
398.042,656.996,398.026,656.940
306.916,557.671,306.755,557.799
357.189,753.603,357.180,753.782
385.780,575.969,385.773,575.910
251.162,688.747,251.178,688.746
251.554,418.814,251.562,418.827
439.657,658.450,439.719,658.387
255.380,631.119,255.463,631.090
309.982,653.781,310.037,653.841
242.570,518.432,242.229,518.260
447.604,586.576,447.627,586.516
206.676,466.080,206.908,465.923
448.710,643.192,448.733,643.194
240.697,709.906,240.730,709.913
305.068,424.819,305.087,424.850
278.374,559.037,278.322,558.999
306.345,489.800,306.172,489.339
366.286,499.620,366.322,499.641
250.221,549.550,250.174,549.510
239.136,634.202,239.206,634.436
142.128,641.554,142.151,641.466
254.006,571.917,253.971,571.907
415.004,419.431,415.155,419.408
357.934,632.138,357.956,632.098
263.473,774.513,263.460,774.506
411.844,403.706,411.844,403.709
143.722,654.590,143.827,654.591
145.158,629.557,145.426,629.621
258.702,442.400,258.662,442.297
270.357,554.669,270.313,554.651
383.269,631.047,383.329,631.002
374.865,387.482,374.894,387.611
267.056,379.600,267.041,379.704
280.971,316.181,280.817,315.644
290.853,672.260,289.753,672.480
157.354,604.955,157.344,604.982
227.105,443.815,227.191,443.707
126.985,682.681,126.986,682.700
283.112,767.548,282.948,767.570
188.130,658.318,188.173,658.344
442.300,568.724,442.360,568.737
155.178,725.556,155.028,725.523
