match_index,moving_keypoint_index,reference_keypoint_index,moving_x_px,moving_y_px,reference_x_px,reference_y_px,descriptor_distance,is_ransac_inlier
116,7466,10821,852.0376586914062,36.20778274536133,851.6571655273438,36.374488830566406,108.62319946289062,1
117,6262,9610,901.2213745117188,100.4976806640625,901.075927734375,100.39881896972656,112.964599609375,1
118,7661,10949,846.5903930664062,16.188016891479492,846.6476440429688,16.807395935058594,113.96929168701172,1
119,10387,4143,748.9515380859375,53.96377182006836,749.14501953125,53.908382415771484,117.69451904296875,1
120,7869,6715,838.7225341796875,110.3762435913086,838.6561889648438,110.3487319946289,119.08820343017578,1
121,11089,3888,741.341064453125,126.24050903320312,741.0687255859375,126.49604797363281,119.54078674316406,1
122,10595,4056,746.9952392578125,17.786334991455078,746.633544921875,17.202293395996094,120.6689682006836,1
123,8148,11325,829.473388671875,122.78456115722656,829.6337280273438,122.95277404785156,122.47856903076172,1
124,8461,4689,767.3244018554688,117.6376953125,767.2515869140625,117.75830841064453,125.31560516357422,1
125,11016,3912,742.2666015625,44.57231521606445,741.401123046875,43.01154327392578,131.21737670898438,1
126,8107,11309,830.7924194335938,83.22025299072266,830.496826171875,81.90615844726562,132.40846252441406,1
127,9825,4325,753.7752685546875,8.347799301147461,754.12060546875,6.894997596740723,133.66001892089844,1
128,6844,10268,877.8818359375,98.09711456298828,877.4304809570312,97.5708999633789,133.79087829589844,1
129,8103,11290,830.8255004882812,102.90774536132812,830.984130859375,102.9493408203125,136.57965087890625,1
130,9800,9544,754.0866088867188,119.01667022705078,753.6836547851562,119.2022705078125,137.2151641845703,1
131,11201,12853,735.3141479492188,51.297760009765625,735.1106567382812,50.847801208496094,138.60374450683594,1
132,6525,9967,892.5283813476562,108.71343231201172,891.9418334960938,109.59272003173828,138.9892120361328,1
133,7971,4794,773.2303466796875,58.10605239868164,772.875244140625,58.47216796875,150.9105682373047,1
134,8701,2786,710.2369995117188,109.99939727783203,709.6294555664062,109.39292907714844,159.94686889648438,1
135,4825,5476,795.7532348632812,104.91893005371094,795.3156127929688,104.80675506591797,160.5926513671875,1
136,5519,5375,791.9513549804688,102.1709213256836,791.7977294921875,102.05781555175781,163.52674865722656,1
137,7791,11047,842.85107421875,72.20340728759766,842.1696166992188,72.07588195800781,164.77256774902344,1
138,793,8737,1096.2237548828125,104.93455505371094,1095.9483642578125,102.23417663574219,92.53107452392578,1
139,252,3319,1123.720947265625,117.05671691894531,1123.0419921875,116.23795318603516,101.43470764160156,1
140,1437,4648,1072.877197265625,122.49871826171875,1072.8577880859375,123.20463562011719,102.56217956542969,1
141,2483,5808,1036.9283447265625,78.19377136230469,1036.76318359375,77.75210571289062,116.07756042480469,1
142,9,2886,1138.1995849609375,75.96162414550781,1138.0517578125,76.19953918457031,116.94015502929688,1
143,5082,976,939.4393310546875,100.18746185302734,939.4381103515625,100.84925079345703,118.91593933105469,1
144,432,12994,1115.3785400390625,32.105072021484375,1115.6719970703125,31.963417053222656,120.30377960205078,1
145,4073,9946,973.4496459960938,53.921287536621094,973.50244140625,52.204200744628906,120.47821044921875,1
146,3950,9978,976.4259033203125,124.53689575195312,974.8182373046875,124.18479919433594,120.97520446777344,1
147,5077,970,939.4393310546875,100.18746185302734,939.4381103515625,100.84925079345703,121.83595275878906,1
148,4684,9209,954.6397705078125,59.75466537475586,954.9664306640625,58.76593780517578,122.3233413696289,1
149,165,3130,1129.566162109375,47.65253829956055,1129.3739013671875,46.7952995300293,123.98789978027344,1
150,5449,759,929.6104125976562,108.63147735595703,929.5989990234375,108.1792221069336,126.18241119384766,1
151,3527,7021,996.682861328125,15.469046592712402,996.3606567382812,16.942699432373047,126.52667999267578,1
152,430,3584,1115.4483642578125,82.67679595947266,1115.578369140625,82.23885345458984,128.67788696289062,1
153,402,13032,1117.232177734375,103.42182922363281,1116.885498046875,103.2881851196289,129.96153259277344,1
154,1728,5052,1059.773193359375,83.42996978759766,1059.4564208984375,83.2156982421875,130.27662658691406,1
155,47,13487,1134.99072265625,84.31314849853516,1134.014892578125,84.43412780761719,130.5679931640625,1
156,1409,4628,1074.194091796875,105.83277893066406,1074.1898193359375,105.27083587646484,135.628173828125,1
157,4077,9898,973.1115112304688,43.543758392333984,972.7244262695312,43.74959182739258,137.4554443359375,1
158,1260,4506,1079.2869873046875,117.54371643066406,1079.2344970703125,117.18639373779297,138.93524169921875,1
159,251,3314,1123.720947265625,117.05671691894531,1123.0419921875,116.23795318603516,140.1962890625,1
160,3168,11243,1010.0838623046875,32.510467529296875,1010.1057739257812,30.744598388671875,141.68980407714844,1
161,4359,7925,965.1373901367188,101.6300048828125,965.2301635742188,101.55812072753906,142.68496704101562,1
162,740,8322,1100.8695068359375,80.39142608642578,1100.3382568359375,80.45152282714844,145.81495666503906,1
163,3701,10397,989.1039428710938,48.59360885620117,989.2942504882812,48.790306091308594,146.4650115966797,1
164,4560,31,959.6228637695312,67.6852798461914,959.5510864257812,68.33274841308594,147.74978637695312,1
165,1995,5315,1051.4403076171875,50.49751281738281,1052.03857421875,50.25284957885742,155.00645446777344,1
166,3416,10864,1001.70458984375,127.43942260742188,1002.0924072265625,127.88258361816406,155.6374053955078,1
167,2128,12574,1047.711669921875,122.00366973876953,1047.906982421875,122.44890594482422,157.25775146484375,1
168,3228,6732,1008.0845947265625,29.697093963623047,1007.9981689453125,29.68950653076172,158.28456115722656,1
169,11541,13704,1144.412841796875,116.03583526611328,1144.2384033203125,115.698486328125,159.5775604248047,1
170,2816,11610,1025.4732666015625,97.26028442382812,1024.478271484375,96.79658508300781,160.20924377441406,1
171,1761,5098,1058.7930908203125,123.60469055175781,1058.214599609375,124.17938232421875,161.75289916992188,1
172,1177,4398,1082.35107421875,121.98689270019531,1082.6893310546875,121.5560073852539,164.82717895507812,1
173,12697,14275,1293.8480224609375,24.34391212463379,1293.5380859375,24.494680404663086,64.75337982177734,1
174,12832,1919,1307.21826171875,108.60372924804688,1307.247802734375,108.5982894897461,97.74967956542969,1
175,12232,8093,1241.6971435546875,124.48896026611328,1241.8756103515625,122.06182098388672,104.3455810546875,1
176,12392,13989,1259.2117919921875,10.068794250488281,1259.300048828125,10.475625038146973,107.54998779296875,1
177,12557,2210,1280.19140625,26.727994918823242,1280.44482421875,27.809431076049805,114.67781066894531,1
178,11830,14488,1182.4263916015625,103.04459381103516,1182.9246826171875,102.87765502929688,117.63502502441406,1
179,11566,2664,1148.13720703125,85.30846405029297,1147.1075439453125,85.02255249023438,120.25389862060547,1
180,12433,2338,1264.7130126953125,5.723984718322754,1264.6173095703125,5.981863021850586,127.4754867553711,1
181,11956,1101,1201.731689453125,55.069881439208984,1201.037841796875,55.61028289794922,130.44921875,1
182,13631,14451,1310.3394775390625,90.85688018798828,1311.2470703125,94.06067657470703,130.9083709716797,1
183,13073,1599,1331.353271484375,18.183534622192383,1331.2525634765625,18.16575050354004,137.15684509277344,1
184,12405,2395,1260.4879150390625,35.43915939331055,1260.05322265625,35.43436050415039,144.62364196777344,1
185,12823,1932,1306.7730712890625,24.444852828979492,1306.6280517578125,24.723167419433594,146.34547424316406,1
186,12777,14360,1302.0458984375,111.4625244140625,1302.08935546875,111.54977416992188,152.32859802246094,1
187,12748,2022,1299.6280517578125,76.25208282470703,1298.6275634765625,77.14507293701172,158.0917510986328,1
188,14824,10398,1242.579833984375,53.103641510009766,1243.437255859375,52.19025421142578,158.142333984375,1
189,13074,1594,1331.353271484375,18.183534622192383,1331.2525634765625,18.16575050354004,160.25604248046875,1
190,11670,14028,1162.0008544921875,29.118024826049805,1162.321044921875,29.167875289916992,160.48675537109375,1
191,12912,1785,1318.5382080078125,27.696399688720703,1318.0482177734375,27.513652801513672,160.611328125,1
192,12876,1838,1314.0794677734375,69.65760040283203,1313.2679443359375,69.29772186279297,162.0617218017578,1
193,12774,1971,1302.0184326171875,100.54446411132812,1302.8013916015625,101.95932006835938,164.42019653320312,1
194,12972,1733,1323.9686279296875,71.68059539794922,1322.8984375,71.2140884399414,165.27854919433594,1
195,12079,8403,1221.1121826171875,7.16933536529541,1219.9287109375,7.946351528167725,165.89755249023438,1
196,12853,14421,1310.1746826171875,64.82571411132812,1308.109375,65.93718719482422,168.3419189453125,1
197,12168,8207,1233.021484375,26.180543899536133,1233.103759765625,25.865434646606445,168.52003479003906,1
198,12198,172,1236.35888671875,49.89055252075195,1237.572265625,48.06476593017578,169.3546600341797,1
199,12906,14501,1318.21142578125,10.254175186157227,1318.125244140625,10.2064790725708,170.51979064941406,1
200,13710,13941,1254.165283203125,51.157894134521484,1254.17041015625,50.671207427978516,170.6516876220703,1
201,12875,1839,1314.0794677734375,69.65760040283203,1313.2679443359375,69.29772186279297,170.6575469970703,1
202,12870,1830,1313.80419921875,83.20770263671875,1313.4365234375,83.21003723144531,173.0086669921875,1
203,12469,14058,1268.629150390625,40.46705627441406,1268.29736328125,41.11064529418945,175.4023895263672,1
204,11933,1200,1198.2025146484375,66.8039321899414,1198.1689453125,66.24229431152344,176.18455505371094,1
205,12776,14359,1302.0458984375,111.4625244140625,1302.08935546875,111.54977416992188,177.1044921875,1
206,11721,2216,1167.662353515625,25.700193405151367,1166.9696044921875,25.207040786743164,183.1638641357422,1
207,12416,2370,1261.62109375,30.95591163635254,1261.3497314453125,31.290363311767578,183.85592651367188,1
208,3420,4191,202.82635498046875,183.64093017578125,202.49404907226562,182.3389434814453,89.17398834228516,1
209,3718,4519,219.71206665039062,233.80799865722656,219.09835815429688,231.93324279785156,92.56889343261719,1
210,3717,4518,219.71206665039062,233.80799865722656,219.09835815429688,231.93324279785156,94.25497436523438,1
211,351,509,28.871530532836914,143.0215606689453,28.64743423461914,143.06890869140625,98.10708618164062,1
212,486,8478,37.86874008178711,158.5985870361328,38.106868743896484,159.4538116455078,99.38813018798828,1
213,534,747,40.63458251953125,220.09217834472656,40.49626159667969,219.99093627929688,102.72779846191406,1
