inlier_index,moving_keypoint_index,reference_keypoint_index,moving_x_px,moving_y_px,reference_x_px,reference_y_px,projected_reference_x_px,projected_reference_y_px,reprojection_error_px,descriptor_distance
64,4751,5709,274.2774353027344,59.03295135498047,273.996826171875,58.08214569091797,274.1551513671875,58.865821838378906,0.7995093317591473,149.92330932617188
65,6019,7203,337.9737243652344,7.371738910675049,338.02899169921875,7.54247522354126,337.8494873046875,7.208456993103027,0.37919652677881793,151.4463653564453
66,5371,11414,307.4769287109375,57.10238265991211,307.6954345703125,57.8135871887207,307.3565368652344,56.939674377441406,0.9373234533635141,151.8123779296875
67,5954,7100,334.43841552734375,11.753283500671387,334.1673583984375,11.53921127319336,334.31451416015625,11.58987045288086,0.15563152217219986,152.53851318359375
68,11275,8976,629.443115234375,121.01776123046875,628.55322265625,119.83417510986328,629.3284301757812,120.9035415649414,1.3207919266804098,66.55073547363281
69,10792,5044,586.1484375,71.38245391845703,585.5050048828125,71.33306884765625,586.0292358398438,71.2595443725586,0.5293618278156125,84.95881652832031
70,10533,3616,653.0122680664062,14.858327865600586,652.8606567382812,14.800027847290039,652.8794555664062,14.742613792419434,0.06041332332820457,90.61457061767578
71,8665,10383,472.7753601074219,29.453107833862305,473.1363525390625,27.978429794311523,472.65484619140625,29.31153678894043,1.4173999513058324,91.43850708007812
72,10462,5385,569.4932250976562,60.28302001953125,570.0031127929688,60.92267608642578,569.3733520507812,60.15717315673828,0.9912584565897515,93.17188262939453
73,9733,3152,676.8341674804688,79.0704116821289,676.1456298828125,78.84114837646484,676.7090454101562,78.9602279663086,0.5758619671148562,96.06768798828125
74,10463,5379,569.4932250976562,60.28302001953125,570.0031127929688,60.92267608642578,569.3733520507812,60.15717315673828,0.9912584565897515,99.0
75,9670,3121,678.0553588867188,43.4278678894043,677.8342895507812,43.687313079833984,677.9244995117188,43.31660461425781,0.3815266746928517,105.20455932617188
76,8815,10564,481.8598937988281,61.31376266479492,481.95916748046875,61.4345703125,481.7432861328125,61.175785064697266,0.33700825026429443,106.0613021850586
77,10421,12997,655.6726684570312,46.52284240722656,655.421630859375,46.94515609741211,655.5444946289062,46.40848922729492,0.5505513921014152,106.63957977294922
78,10094,5793,549.643310546875,35.954681396484375,549.4619140625,36.07279586791992,549.5210571289062,35.82466125488281,0.25508564932392824,109.26115417480469
79,8433,10122,459.62823486328125,58.56728744506836,460.33355712890625,59.63923645019531,459.5115661621094,58.425994873046875,1.4654774901093806,110.081787109375
80,10692,5172,580.7711181640625,55.546043395996094,580.5343017578125,55.441104888916016,580.6499633789062,55.421512603759766,0.11730928450757003,114.58621215820312
81,8527,10218,465.42266845703125,47.39664840698242,465.2689208984375,46.72856140136719,465.3045349121094,47.255306243896484,0.5279474283496741,117.52871704101562
82,10802,5019,586.4989624023438,58.64043426513672,586.2822875976562,58.52228546142578,586.3778686523438,58.516868591308594,0.0957344269165557,118.2708740234375
83,10774,3748,645.4208374023438,18.924072265625,646.0956420898438,21.45073699951172,645.2893676757812,18.807344436645508,2.7636212968111646,120.258056640625
84,8431,7465,459.5296325683594,108.31974029541016,459.6341857910156,108.34386444091797,459.419189453125,108.18277740478516,0.2686493225683509,123.29639434814453
85,11020,11131,597.3933715820312,69.00009155273438,597.9879150390625,69.82665252685547,597.2731323242188,68.87859344482422,1.1873206611784948,123.3936767578125
86,10584,5276,575.548828125,47.70335006713867,575.5281982421875,47.42122268676758,575.4268188476562,47.577667236328125,0.18642070357855978,123.89108276367188
87,10801,5020,586.4989624023438,58.64043426513672,586.2822875976562,58.52228546142578,586.3778686523438,58.516868591308594,0.0957344269165557,130.6598663330078
88,11471,9622,620.292236328125,118.54442596435547,619.9039306640625,118.50791931152344,620.1777954101562,118.42888641357422,0.2850405201216939,136.69674682617188
89,8530,7368,465.5196838378906,60.94335174560547,465.68853759765625,61.56614685058594,465.40325927734375,60.803070068359375,0.8146593739800494,137.14590454101562
90,8712,10427,475.70843505859375,69.14107513427734,475.3883056640625,68.27755737304688,475.5929260253906,69.00285339355469,0.7536071985023243,137.51364135742188
91,9372,6607,511.2112121582031,124.87483215332031,511.5448913574219,125.080810546875,511.1023864746094,124.74597930908203,0.5549076762082824,139.12225341796875
92,9608,11528,523.8658447265625,26.40217399597168,523.7689208984375,26.5109806060791,523.7434692382812,26.26787567138672,0.2444336234573651,142.87057495117188
93,9882,11908,538.6260375976562,15.832321166992188,539.9057006835938,17.0704402923584,538.5015258789062,15.699633598327637,1.962350089693153,143.14328002929688
94,10571,5289,574.8036499023438,57.293052673339844,574.305419921875,57.16483688354492,574.6830444335938,57.16777801513672,0.3776359650587648,147.68209838867188
95,10788,5046,585.9498901367188,34.997188568115234,585.4033813476562,34.441566467285156,585.825439453125,34.87236785888672,0.6030944232852045,149.505859375
96,10807,3828,644.3309936523438,5.336436748504639,643.9706420898438,5.882755756378174,644.197509765625,5.219176292419434,0.7012892750514266,149.6328887939453
97,10904,4906,591.6563110351562,49.03072738647461,591.398193359375,48.87710189819336,591.5335083007812,48.90739440917969,0.1386642332746036,152.05262756347656
98,8851,10601,483.7883605957031,108.77189636230469,483.5777587890625,108.9574966430664,483.6778259277344,108.63810729980469,0.33469834901165596,153.68148803710938
99,10669,5189,579.5362548828125,47.778873443603516,579.5311279296875,47.767852783203125,579.4140625,47.65375900268555,0.16346775088901264,153.76280212402344
100,10890,11743,590.8199462890625,74.2486801147461,590.0342407226562,73.52698516845703,590.7008666992188,74.12657165527344,0.8966014431177028,160.03749084472656
101,9687,6220,527.935791015625,18.787282943725586,527.8568115234375,18.812162399291992,527.8121948242188,18.65316390991211,0.16513984823252417,166.14451599121094
102,8526,10212,465.41961669921875,99.55128479003906,465.1387939453125,98.93807983398438,465.3080749511719,99.41427612304688,0.505389913494183,168.70980834960938
103,10599,3632,732.837158203125,20.468746185302734,732.8235473632812,19.805221557617188,732.6962890625,20.36496925354004,0.574031495833349,60.55575942993164
104,10772,3649,733.5354614257812,38.399314880371094,733.4943237304688,38.10163879394531,733.3975219726562,38.29589080810547,0.21703553930374503,74.1080322265625
105,6688,7473,884.0328979492188,25.198741912841797,884.262939453125,24.547224044799805,883.8687744140625,25.11719512939453,0.6929885390778343,77.05193328857422
106,7870,6714,838.7225341796875,110.3762435913086,838.6561889648438,110.3487319946289,838.5820922851562,110.288330078125,0.09559659752343092,81.3449478149414
107,7663,10950,846.5903930664062,16.188016891479492,846.6476440429688,16.807395935058594,846.4314575195312,16.101091384887695,0.738649260818765,81.44322967529297
108,6946,7267,874.2546997070312,26.23895263671875,874.5062255859375,27.543468475341797,874.0925903320312,26.155954360961914,1.4478568785889987,84.48076629638672
109,8281,6294,824.5252685546875,94.92352294921875,824.5140380859375,95.69676208496094,824.38427734375,94.83352661132812,0.872933750722881,90.71383666992188
110,6529,9931,892.189453125,27.596845626831055,892.7332153320312,28.53643798828125,892.0242309570312,27.51644515991211,1.2421933077901441,93.28987121582031
111,6698,7463,883.925537109375,104.90264892578125,883.7281494140625,104.18108367919922,883.7764892578125,104.8205337524414,0.6412746187579962,98.2853012084961
