moving_x,moving_y,reference_x,reference_y
1312.232,303.101,1107.654,318.256
1382.545,250.341,1153.064,284.549
122.779,177.064,321.033,233.255
844.947,413.017,798.572,390.068
70.045,420.345,285.877,397.396
348.365,473.104,468.982,431.103
1071.998,666.556,947.986,558.606
34.889,92.062,262.439,179.029
1110.084,710.523,972.889,587.917
181.373,179.995,360.584,237.651
960.670,108.183,874.744,189.288
497.779,757.420,570.057,621.624
1139.381,430.603,991.932,401.792
915.260,785.266,845.447,637.745
1441.139,669.487,1191.150,560.071
948.951,313.360,867.420,325.584
17.311,256.203,250.721,287.480
499.244,750.092,568.592,614.297
1052.955,250.341,936.268,283.083
1269.752,484.829,1076.893,436.966
64.186,56.889,281.482,157.046
56.861,750.092,274.158,614.297
1476.295,118.442,1216.053,196.616
554.908,49.561,605.213,151.184
153.541,115.511,341.541,193.685
1476.295,399.827,1214.588,382.740
1134.986,56.889,989.002,154.115
1378.150,840.956,1150.135,674.384
1274.146,260.600,1082.752,290.411
590.064,821.904,630.115,662.660
1123.268,345.602,981.678,344.636
1461.646,225.427,1205.799,268.428
51.002,711.988,274.158,589.382
1137.916,153.615,991.932,220.065
26.100,676.815,258.045,567.399
1001.686,40.768,901.111,145.322
833.229,458.449,791.248,420.845
1367.896,675.350,1144.275,565.934
575.416,577.158,621.326,501.450
954.811,171.202,868.885,231.789
635.475,561.037,659.412,488.260
319.068,720.782,449.939,595.245
963.600,622.590,876.209,530.760
1208.229,197.582,1037.342,247.910
1366.432,632.849,1142.811,536.623
1436.744,366.119,1188.221,360.757
343.971,566.899,466.053,494.122
450.904,465.776,537.830,428.172
594.459,328.015,631.580,334.377
881.568,621.124,822.010,527.829
1297.584,578.624,1097.400,501.450
944.557,112.580,863.025,195.150
15.846,553.709,250.721,483.863
159.400,566.899,344.471,492.656
1334.205,84.734,1122.303,176.098
549.049,703.195,602.283,583.520
660.377,360.257,676.990,356.361
623.756,423.276,652.088,400.327
793.678,540.519,764.881,479.466
966.529,736.903,879.139,606.969
569.557,11.457,615.467,124.804
1236.061,470.173,1057.850,428.172
1140.846,437.931,990.467,409.120
1414.771,607.934,1176.502,519.036
1274.146,92.062,1082.752,179.029
1238.990,259.134,1057.850,291.876
1316.627,496.553,1109.119,447.224
653.053,849.750,671.131,680.246
790.748,716.385,761.951,593.779
207.740,14.388,375.232,126.270
783.424,738.368,759.021,608.434
1137.916,251.807,990.467,284.549
1145.240,81.803,996.326,168.771
735.084,24.647,725.330,133.597
30.494,843.887,259.510,677.315
213.600,181.461,381.092,239.117
219.459,127.235,385.486,201.013
1419.166,83.269,1175.037,173.167
631.080,758.886,655.018,618.693
1236.061,138.960,1054.920,209.806
1238.990,244.479,1060.779,280.152
1411.842,328.015,1172.107,335.843
634.010,738.368,657.947,606.969
924.049,763.282,849.842,620.159
1064.674,690.005,943.592,574.727
793.678,40.768,764.881,143.856
14.381,478.966,250.721,436.966
727.760,754.489,722.400,618.693
27.564,45.165,258.045,146.787
549.049,92.062,603.748,179.029
675.025,328.015,685.779,334.377
1176.002,231.289,1016.834,269.893
1022.193,480.432,915.760,439.897
75.904,408.620,287.342,390.068
805.396,794.059,770.740,643.608
941.627,455.518,860.096,419.379
1344.459,285.514,1126.697,305.066
1288.795,414.482,1091.541,392.999
792.213,29.044,764.881,136.529
818.580,15.854,780.994,127.735
871.314,511.208,816.150,456.018
1411.842,143.356,1175.037,214.203
1426.490,84.734,1182.361,174.633
160.865,105.252,345.936,186.357
1117.408,668.022,978.748,561.537
773.170,26.113,750.232,135.063
94.947,311.894,300.525,324.118
1413.307,711.988,1173.572,589.382
604.713,363.188,638.904,359.292
11.451,829.232,247.791,665.591
26.100,704.661,258.045,583.520
560.768,78.872,609.607,167.305
1083.717,352.929,956.775,350.498
787.818,731.040,760.486,601.107
65.650,270.859,284.412,299.204
1083.717,713.454,953.846,589.382
1319.557,288.445,1110.584,307.997
428.932,319.222,523.182,331.446
1079.322,566.899,952.381,492.656
130.104,73.010,325.428,165.840
806.861,61.286,773.670,158.512
869.850,640.177,816.150,541.019
1123.268,247.410,983.143,284.549
1009.010,301.635,904.041,316.791
217.994,134.563,385.486,208.340
784.889,12.923,757.557,127.735
572.486,62.751,615.467,157.046
805.396,537.588,773.670,473.604
496.314,382.240,567.127,371.016
89.088,814.576,297.596,656.797
572.486,70.079,616.932,164.374
1467.506,241.548,1208.729,277.221
1199.439,144.822,1032.947,212.737
617.896,291.376,646.229,313.860
1359.107,648.970,1138.416,543.950
1347.389,267.928,1131.092,294.808
1110.084,662.160,971.424,557.140
560.768,62.751,608.143,158.512
631.080,766.213,657.947,626.021
1262.428,128.701,1073.963,203.944
1083.717,656.297,953.846,551.278
1076.393,559.571,950.916,485.329
1137.916,64.217,993.396,161.443
1050.025,235.686,934.803,275.755
1133.521,223.961,986.072,268.428
1486.549,281.118,1224.842,302.135
742.408,795.524,728.260,643.608
1395.729,165.340,1161.854,228.858
1398.658,606.469,1164.783,519.036
216.529,212.237,382.557,259.634
465.553,473.104,545.154,431.103
648.658,480.432,668.201,434.034
620.826,373.447,647.693,363.688
1154.029,467.242,1002.186,431.103
818.580,625.521,780.994,530.760
77.369,483.363,291.736,436.966
726.295,747.161,719.471,611.366
1189.186,637.245,1025.623,538.088
676.490,423.276,688.709,398.861
724.830,732.506,719.471,602.572
888.893,37.837,824.939,142.391
825.904,33.440,785.389,142.391
1375.221,118.442,1148.670,199.547
92.018,673.884,297.596,563.003
1195.045,152.150,1030.018,220.065
1237.525,269.393,1059.314,299.204
386.451,648.970,495.350,543.950
1382.545,706.126,1151.600,582.055
446.510,780.869,531.971,634.814
666.236,437.931,681.385,409.120
1066.139,682.677,943.592,567.399
1449.928,704.661,1197.010,584.986
525.611,260.600,584.705,291.876
771.705,42.234,748.768,142.391
645.729,524.398,665.271,461.880
595.924,351.464,631.580,350.498
1417.701,165.340,1176.502,228.858
654.518,11.457,671.131,123.339
842.018,449.655,798.572,416.448
938.697,301.635,860.096,319.722
1297.584,111.114,1098.865,190.754
673.561,311.894,685.779,327.050
78.834,744.230,293.201,609.900
417.213,358.792,514.393,356.361
591.529,344.136,633.045,343.171
96.412,814.576,304.920,658.263
112.525,389.568,313.709,376.878
1124.732,692.936,983.143,574.727
1417.701,150.684,1177.967,221.530
553.443,74.476,602.283,165.840
820.045,52.492,783.924,149.718
1398.658,710.523,1164.783,587.917
634.010,773.541,657.947,633.349
578.346,842.422,621.326,678.781
1449.928,619.659,1199.939,529.295
1111.549,697.333,975.818,577.658
