moving_x,moving_y,reference_x,reference_y
945.768,310.430,864.064,323.317
1192.799,347.275,1027.569,347.542
742.229,571.516,729.816,496.458
93.289,336.076,301.902,340.582
961.303,440.692,874.542,409.440
81.919,215.025,292.804,259.965
1146.068,37.566,996.728,142.651
1131.816,165.966,987.142,227.705
1044.624,628.501,930.082,534.499
1294.937,337.501,1095.371,341.168
1192.799,347.275,1027.569,347.542
403.661,258.863,506.338,288.563
1363.094,627.495,1140.379,532.454
631.565,570.417,656.263,494.748
1139.357,74.436,992.202,167.251
1033.750,327.400,922.806,333.783
534.951,671.472,592.965,562.222
869.475,669.276,813.826,560.370
283.105,320.658,426.110,330.030
566.763,51.418,613.847,151.896
1393.818,137.934,1160.442,208.977
146.831,132.722,336.428,205.606
1039.997,388.472,926.542,375.018
1058.992,256.001,939.566,288.455
768.767,35.299,747.160,140.913
73.942,282.386,287.942,304.883
1067.803,276.160,945.242,300.947
579.058,587.376,621.838,505.946
327.889,71.384,455.751,165.225
1183.107,11.911,1020.860,125.882
1265.812,781.542,1075.963,634.876
920.701,445.718,847.725,412.631
648.765,65.881,667.576,161.704
1092.293,335.470,961.145,340.190
279.979,141.699,424.359,211.822
1103.862,166.028,969.206,226.938
1115.980,72.975,976.736,166.154
724.650,340.510,718.211,343.256
517.028,84.312,580.774,173.853
1303.859,769.877,1101.278,627.269
272.306,141.437,419.152,211.432
1124.907,299.674,982.764,316.462
1116.558,147.764,977.258,215.709
1071.134,110.494,947.274,191.108
806.138,803.906,772.109,649.386
445.989,329.307,533.949,335.501
899.178,652.893,833.428,549.487
453.409,473.773,538.801,431.334
1160.173,122.116,1005.759,198.712
99.400,836.488,304.642,671.193
770.596,613.378,748.638,523.438
793.057,633.770,763.416,536.949
271.472,77.505,419.026,169.422
1146.066,466.270,996.635,426.645
769.961,798.528,748.303,646.173
47.194,203.826,270.425,252.695
489.751,447.482,562.826,413.838
240.709,56.558,398.570,155.512
630.196,799.363,655.546,646.834
1007.959,513.053,905.233,457.219
1011.180,496.403,907.391,446.241
692.969,648.996,697.327,547.444
987.799,202.013,892.031,251.482
949.766,302.578,867.594,318.893
1062.476,78.874,941.551,169.842
1014.896,369.906,910.121,362.606
961.873,157.791,874.741,222.103
1048.003,738.597,931.938,605.670
725.191,638.915,718.513,540.023
1068.646,669.125,945.511,561.015
1160.572,30.593,1006.302,138.236
721.867,405.616,716.432,386.140
836.278,653.610,792.161,550.595
600.562,615.902,636.186,524.832
579.058,587.376,621.838,505.946
728.022,497.600,720.428,446.809
840.519,586.579,794.779,505.931
892.697,652.043,828.992,548.765
