moving_x,moving_y,reference_x,reference_y
344.220,321.239,344.207,321.232
437.108,396.673,437.118,396.686
280.227,186.357,280.219,186.348
110.818,140.068,110.838,140.057
357.498,322.732,357.543,322.728
76.080,217.471,76.077,217.494
410.414,242.801,410.410,242.819
169.655,78.726,169.609,78.738
367.236,184.557,367.242,184.683
397.127,165.093,397.137,165.120
192.003,293.201,192.011,293.212
272.065,67.342,272.068,67.345
422.682,265.321,422.682,265.331
510.163,389.417,510.166,389.428
187.524,164.187,187.518,164.181
326.610,330.724,326.609,330.726
352.612,166.749,352.625,166.718
415.416,268.345,415.429,268.367
497.376,119.539,497.381,119.551
86.511,331.146,86.500,331.124
183.822,218.151,183.808,218.185
281.235,50.144,281.237,50.153
108.114,199.831,108.122,199.847
375.324,154.644,375.348,154.712
168.133,175.918,168.149,175.893
365.530,161.893,365.537,161.910
479.340,131.284,479.343,131.285
84.910,171.042,84.906,171.051
399.092,260.170,399.110,260.161
56.860,33.047,56.874,32.995
88.652,90.443,88.657,90.446
106.592,301.689,106.599,301.649
153.500,139.989,153.490,139.978
52.000,13.492,52.022,13.440
88.504,270.808,88.466,270.858
106.888,88.319,106.873,88.324
111.856,313.309,111.858,313.309
137.475,261.603,137.498,261.590
152.109,240.494,152.122,240.484
156.337,212.255,156.355,212.248
373.571,143.697,373.560,143.696
96.083,365.189,96.077,365.196
377.647,200.789,377.661,200.779
453.383,375.367,453.387,375.370
152.392,247.872,152.388,247.848
249.092,158.066,249.097,158.053
107.278,140.524,107.297,140.508
297.164,290.488,297.165,290.492
203.574,189.652,203.583,189.640
337.086,292.610,337.088,292.609
191.182,239.019,191.189,239.054
230.007,215.868,230.003,215.859
508.884,95.347,508.866,95.354
424.834,279.048,424.864,279.052
101.045,388.649,101.054,388.670
267.783,104.419,267.793,104.394
219.272,200.974,219.268,200.970
407.229,237.081,407.231,237.075
441.283,397.166,441.277,397.190
160.295,95.581,160.317,95.578
251.494,146.640,251.469,146.682
402.431,253.329,402.432,253.324
289.077,285.694,289.083,285.667
465.468,154.068,465.500,154.019
266.264,106.603,266.286,106.580
418.145,87.682,418.129,87.683
119.197,227.172,119.194,227.206
260.073,105.045,260.055,105.068
286.324,187.182,286.326,187.185
195.203,56.016,195.183,55.918
223.505,210.951,223.499,210.961
119.876,199.967,119.886,199.969
134.576,177.601,134.584,177.574
274.467,231.521,274.468,231.534
311.194,293.354,311.198,293.389
149.803,274.660,149.805,274.697
196.316,286.080,196.337,286.059
235.472,265.531,235.476,265.535
398.479,265.586,398.505,265.595
416.877,160.324,416.880,160.323
423.644,301.252,423.650,301.262
401.737,165.667,401.727,165.669
471.294,57.853,471.294,57.847
62.782,143.780,62.783,143.782
421.608,221.929,421.624,221.837
41.853,25.170,41.855,25.123
439.100,274.781,439.118,274.751
476.128,133.208,476.129,133.217
404.315,171.489,404.319,171.480
445.712,100.553,445.707,100.550
63.517,38.856,63.515,38.853
